City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
colares,20,3600,1620053203,55,38.7992,-9.4469,73,10.36
barrow,90,-28800,1620053203,86,71.2906,-156.7887,15.8,3.27
avarua,90,-36000,1620053204,73,-21.2078,-159.775,75.2,8.05
hasaki,20,32400,1620053204,38,35.7333,140.8333,59,10.36
kunming,0,28800,1620053204,52,25.0389,102.7183,66.2,13.42
lebu,97,-14400,1620053205,77,-37.6167,-73.65,54.41,8.43
cape town,75,7200,1620052986,29,-33.9258,18.4232,78.8,14.97
lagoa,100,0,1620053206,78,39.05,-27.9833,62.83,9.8
camacha,40,3600,1620053206,56,33.0833,-16.3333,68,11.5
hilo,1,-36000,1620053206,78,19.7297,-155.09,71.6,5.75
hengshui,51,28800,1620053207,79,37.7322,115.7011,56.79,7.47
ushuaia,75,-10800,1620053149,87,-54.8,-68.3,35.6,26.46
nikolskoye,,,,,,,,
tuatapere,88,43200,1620053208,72,-46.1333,167.6833,53.01,10
hermanus,83,7200,1620053208,38,-34.4187,19.2345,80.01,2.01
geraldton,100,28800,1620053209,82,-28.7667,114.6,64.4,6.91
bonavista,100,-9000,1620053209,62,48.6499,-53.1147,50,8.05
koboko,95,10800,1620053210,87,3.4136,30.9599,66.2,1.79
namwala,100,7200,1620053210,65,-15.7504,26.4384,67.44,5.39
yellowknife,20,-21600,1620052998,45,62.456,-114.3525,21.99,5.75
khatanga,100,25200,1620053211,85,71.9667,102.5,25.77,13.04
rio grande,20,-10800,1620052948,65,-32.035,-52.0986,77,3.44
katsuura,40,32400,1620053211,72,35.1333,140.3,62.01,4.61
kodiak,90,-28800,1620053212,87,57.79,-152.4072,39.2,8.05
saskylakh,100,32400,1620053212,95,71.9167,114.0833,27.55,7
tuktoyaktuk,75,-21600,1620053213,85,69.4541,-133.0374,10.4,5.26
umzimvubu,,,,,,,,
lindi,6,10800,1620053213,91,-10,39.7167,75.47,5.48
manicore,75,-14400,1620053214,79,-5.8092,-61.3003,84.2,2.3
fairbanks,1,-28800,1620053133,48,64.8378,-147.7164,41,4.7
ostrovnoy,10,10800,1620053215,83,68.0531,39.5131,30.34,10.54
chabahar,18,16200,1620053215,78,25.2919,60.643,83.01,7.36
thompson,75,-18000,1620053215,80,55.7435,-97.8558,28.4,4.61
mullingar,40,3600,1620053216,71,53.5333,-7.35,54,11.99
arkhipo-osipovka,91,10800,1620053216,74,44.37,38.52,63.66,4.7
hithadhoo,100,18000,1620053217,71,-0.6,73.0833,83.8,10.4
rikitea,80,-32400,1620053217,80,-23.1203,-134.9692,78.85,13.44
mar del plata,100,-10800,1620053218,100,-38.0023,-57.5575,61,9.57
castro,0,-10800,1620053218,47,-24.7911,-50.0119,74.98,0.81
aklavik,97,-21600,1620053219,86,68.2191,-135.0107,21.2,9.22
cidreira,0,-10800,1620053219,54,-30.1811,-50.2056,77.18,5.26
kapaa,75,-36000,1620053219,78,22.0752,-159.319,73.4,13.8
esperance,67,28800,1620053220,82,-33.8667,121.9,55.4,9.22
ayagoz,13,21600,1620053220,30,47.9714,80.4392,51.6,10.04
kavieng,64,36000,1620053221,75,-2.5744,150.7967,82.31,4.59
coihaique,20,-14400,1620053221,75,-45.5752,-72.0662,42.8,5.75
luderitz,0,7200,1620053222,59,-26.6481,15.1594,69.96,4.63
jamestown,90,-14400,1620053222,72,42.097,-79.2353,60.01,13.8
albany,100,-14400,1620053193,61,42.6001,-73.9662,60.01,3.6
chuy,24,-10800,1620053223,50,-33.6971,-53.4616,76.68,10.07
busselton,74,28800,1620053224,81,-33.65,115.3333,60.01,3
kavaratti,99,19800,1620053224,69,10.5669,72.642,86,4.88
hobart,90,36000,1620053229,81,-42.8794,147.3294,44.6,10.36
butaritari,77,43200,1620053230,75,3.0707,172.7902,83.16,13.85
tomatlan,2,-18000,1620053230,31,19.9333,-105.25,79.61,0.4
taolanaro,,,,,,,,
severo-kurilsk,100,39600,1620053231,95,50.6789,156.125,34.79,16.98
bredasdorp,62,7200,1620053231,17,-34.5322,20.0403,86,10.36
puerto suarez,11,-14400,1620053232,74,-18.95,-57.8,87.8,6.91
saint-pierre,0,14400,1620053232,78,-21.3393,55.4781,78.8,2.3
raga,48,7200,1620053233,22,8.4596,25.678,97.56,4.54
vao,98,39600,1620053233,80,-22.6667,167.4833,73.65,24.07
kahului,1,-36000,1620053234,78,20.8947,-156.47,71.6,4.61
airai,,,,,,,,
dikson,100,25200,1620053234,89,73.5069,80.5464,27.91,11.83
bluff,87,43200,1620053235,72,-46.6,168.3333,53.01,10
beloha,13,10800,1620053235,66,-25.1667,45.05,67.05,9.17
punta arenas,40,-10800,1620053236,65,-53.15,-70.9167,37.4,9.22
mangrol,0,19800,1620053230,69,21.1167,70.1167,83.84,13.98
mehamn,40,7200,1620053236,64,71.0357,27.8492,35.6,4.61
ocean city,75,-14400,1620053237,60,39.2776,-74.5746,71.6,6.91
buraydah,0,10800,1620053237,16,26.326,43.975,91.4,17.27
porto seguro,75,-10800,1620053238,69,-16.4497,-39.0647,78.8,4.61
peniche,1,3600,1620053238,61,39.3558,-9.3811,68,10
comodoro rivadavia,75,-10800,1620053144,81,-45.8667,-67.5,42.8,14.97
guerrero negro,100,-21600,1620053173,72,27.9769,-114.0611,60.19,15.61
akureyri,75,0,1620053239,56,65.6835,-18.0878,37.4,6.91
mataura,,,,,,,,
cockburn town,46,-14400,1620053110,69,21.4612,-71.1419,79.34,18.1
luau,61,3600,1620053240,85,-10.7073,22.2247,70.52,7.34
saldanha,100,7200,1620053240,15,-33.0117,17.9442,86,13.8
dudinka,100,25200,1620053241,94,69.4058,86.1778,33.69,14.76
college,75,-28800,1620053241,42,64.8569,-147.8028,41,10.36
new norfolk,10,36000,1620053242,76,-42.7826,147.0587,39.99,2.3
samarai,37,36000,1620053242,82,-10.6167,150.6667,79.9,10.67
kracheh,,,,,,,,
yulara,99,34200,1620053243,40,-25.2406,130.9889,69.8,12.66
sao filipe,10,-3600,1620053243,68,14.8961,-24.4956,71.46,8.93
east london,0,7200,1620053244,60,-33.0153,27.9116,73.4,13.8
carlyle,98,-18000,1620053244,94,38.6103,-89.3726,66,7.67
port blair,55,19800,1620053245,76,11.6667,92.75,83.89,8.48
tynda,100,32400,1620053245,89,55.1667,124.7167,35.98,8.43
le port,0,14400,1620053246,83,-20.9373,55.2919,78.8,9.22
jackson,1,-25200,1620053246,75,42.4165,-122.8345,48.99,3.44
isla mujeres,40,-18000,1620053247,74,21.2311,-86.731,84,9.22
beidao,100,28800,1620053247,38,34.5686,105.8933,56.93,10.8
illoqqortoormiut,,,,,,,,
tumannyy,,,,,,,,
sirjan,100,16200,1620053248,47,29.452,55.6814,59.79,15.77
tiksi,100,32400,1620053249,96,71.6872,128.8694,27.19,5.26
bilma,3,3600,1620053249,3,18.6853,12.9164,106,6.91
nanortalik,100,-7200,1620053250,58,60.1432,-45.2371,42.8,30.8
suntar,31,32400,1620053250,96,62.1444,117.6319,30.97,3.36
pimentel,0,-18000,1620053251,61,-6.8367,-79.9342,77,4.61
ahipara,2,43200,1620053251,85,-35.1667,173.1667,52.5,2.66
roseburg,1,-25200,1620053251,87,43.2165,-123.3417,46.99,0.94
puerto carreno,100,-18000,1620053000,82,6.189,-67.4859,77.04,0.69
grand river south east,,,,,,,,
portland,75,-25200,1620053252,71,45.5234,-122.6762,50,4.61
rungata,,,,,,,,
longyearbyen,0,7200,1620053258,68,78.2186,15.6401,23,4.61
saint-leu,0,14400,1620053258,78,-21.15,55.2833,78.8,2.3
cabo san lucas,1,-21600,1620053030,17,22.8909,-109.9124,77,6.91
ponta do sol,40,3600,1620053259,60,32.6667,-17.1,69.8,16.11
wenling,100,28800,1620053260,73,28.3669,121.36,72,11.41
acapulco,20,-18000,1620053260,69,16.8634,-99.8901,77,4.61
hami,85,28800,1620053261,7,42.8,93.45,59.9,3.8
tual,77,32400,1620053261,77,-5.6667,132.75,82.72,17.45
maputo,20,7200,1620053261,64,-25.9653,32.5892,73.4,11.5
souillac,40,14400,1620053262,94,-20.5167,57.5167,78.8,6.91
camargo,93,-21600,1620053262,25,27.6667,-105.1667,70.3,11.43
koumac,1,39600,1620053263,84,-20.5667,164.2833,73.69,3.8
rakiv lis,99,10800,1620053263,56,51.6217,24.9243,47.14,18.68
opuwo,0,7200,1620053264,31,-18.0607,13.84,83.12,12.03
saluzzo,45,7200,1620053264,39,44.6464,7.4862,64.4,4.61
le vauclin,75,-14400,1620053264,83,14.5452,-60.8388,80.01,14.97
jiddah,,,,,,,,
kupang,13,28800,1620053265,75,-10.1667,123.5833,78.35,11.16
turukhansk,100,25200,1620053265,98,65.8167,87.9833,32.22,11.54
qaanaaq,33,-10800,1620053266,71,77.484,-69.3632,29.8,2.28
victor harbor,60,34200,1620053266,66,-35.5667,138.6167,57.99,5.01
la ronge,36,-21600,1620053267,68,55.1001,-105.2842,26.6,5.75
sidmouth,75,3600,1620053267,76,50.6909,-3.2397,52,27.63
hobyo,100,10800,1620053268,69,5.3505,48.5268,85.82,9.93
avera,,,,,,,,
laguna,1,-25200,1620053268,39,38.421,-121.4238,64.99,17.27
talitsa,0,18000,1620053269,25,56.8804,60.0213,59,6.71
amderma,,,,,,,,
hofn,40,0,1620053270,38,64.2539,-15.2082,41,21.85
hunza,,,,,,,,
belushya guba,,,,,,,,
arraial do cabo,40,-10800,1620053270,73,-22.9661,-42.0278,78.8,4.61
riachao,14,-10800,1620053271,52,-7.3619,-46.6172,84.43,9.33
clarence town,100,36000,1620053271,100,-32.5833,151.7833,61,2.04
tsihombe,,,,,,,,
oltu,25,10800,1620053272,30,40.5498,42.0013,70.27,5.1
abu kamal,,,,,,,,
gravdal,40,7200,1620053273,56,68.1214,13.5031,37.4,8.05
port elizabeth,0,7200,1620053273,56,-33.918,25.5701,72.55,11.92
san patricio,1,-18000,1620053274,83,28.017,-97.5169,82.4,11.5
tasiilaq,0,-7200,1620053274,55,65.6145,-37.6368,33.8,9.22
svetlogorsk,99,10800,1620053275,73,52.6333,29.7333,44.44,18.03
havre,0,7200,1620053275,58,49.5833,0.3333,60.8,8.05
smiltene,100,10800,1620053276,93,57.4244,25.9016,37,4
georgetown,40,28800,1620053112,94,5.4112,100.3354,82.4,2.3
bethel,20,-14400,1620053276,48,41.3712,-73.414,64.4,6.91
puente nacional,100,-18000,1620053277,98,5.8774,-73.6781,62.01,1.14
vaini,75,46800,1620053277,78,-21.2,-175.2,73.4,11.5
sulurpeta,,,,,,,,
oranjemund,7,7200,1620053278,67,-28.55,16.4333,67.77,4.9
puerto ayora,0,-21600,1620053279,74,-0.7393,-90.3518,80.6,13.8
puerto del rosario,20,3600,1620053280,56,28.5004,-13.8627,71.6,18.41
provideniya,99,43200,1620053280,75,64.3833,-173.3,27.5,13.56
lata,34,3600,1620053281,40,40.1629,-8.3327,75,9.84
bardiyah,100,7200,1620053281,24,31.7561,25.0865,88.99,6.93
iqaluit,40,-14400,1620053282,69,63.7506,-68.5145,33.8,11.5
clyde river,20,-14400,1620053282,86,70.4692,-68.5914,26.6,17.27
anadyr,0,43200,1620053283,92,64.75,177.4833,10.4,8.95
gat,31,10800,1620053288,29,31.61,34.7642,84,9.4
bambous virieux,40,14400,1620053289,94,-20.3428,57.7575,79,6.91
upernavik,85,-7200,1620053289,68,72.7868,-56.1549,31.73,8.86
taicheng,90,28800,1620053289,41,38.731,113.228,51.85,5.26
port alfred,0,7200,1620053290,61,-33.5906,26.891,73.27,17.96
mareeba,90,36000,1620053290,83,-17,145.4333,73.4,4.61
yeppoon,40,36000,1620053291,83,-23.1333,150.7333,68,4.61
ahuimanu,40,-36000,1620053291,73,21.4447,-157.8378,73.4,8.05
marsh harbour,100,-14400,1620053292,73,26.5412,-77.0636,79.03,14.45
jorpeland,40,7200,1620053292,61,59.0225,6.0408,46.4,9.22
fortuna,90,-25200,1620053241,100,40.5982,-124.1573,51.01,5.75
santarem,40,-10800,1620053293,78,-2.4431,-54.7083,80.6,8.05
kasongo-lunda,100,3600,1620053293,97,-6.4667,16.8167,70.9,1.7
iwanai,96,32400,1620053294,93,42.9744,140.5089,40.57,5.03
kutum,5,7200,1620053294,8,14.2,24.6667,93.04,8.79
selje,100,7200,1620053294,65,62.0459,5.351,45,12.91
torbay,90,-9000,1620053295,81,47.6666,-52.7314,45,24.16
madison heights,90,-14400,1620053110,100,42.4859,-83.1052,59,4.61
ongandjera,9,7200,1620053296,32,-17.8833,15.0667,83.82,9.26
port hedland,59,28800,1620053296,88,-20.3167,118.5667,75.2,5.75
bagdarin,100,28800,1620053296,59,54.4333,113.6,36.93,9.89
srednekolymsk,100,39600,1620053297,96,67.45,153.6833,14.5,2.86
can tho,20,25200,1620053258,89,10.0333,105.7833,82.4,4.61
dingle,78,28800,1620053298,83,10.9995,122.6711,79.18,8.21
sorland,20,7200,1620053298,52,67.667,12.6934,39.2,9.22
korgen,20,7200,1620053299,33,66.0771,13.8153,41,10.36
hirtshals,75,7200,1620053299,66,57.5881,9.9592,51.01,11.5
iquique,0,-14400,1620053300,60,-20.2208,-70.1431,68,11.5
altay,0,28800,1620053300,30,47.8667,88.1167,45.52,7.56
pandan niog,6,28800,1620053301,73,6.2282,120.5631,84.13,5.75
medea,40,3600,1620053301,68,36.2642,2.7539,69.8,23.02
rio gallegos,75,-10800,1620053302,80,-51.6226,-69.2181,33.8,14.97
osoyoos,100,-25200,1620053302,76,49.0331,-119.4524,46.4,0.54
arua,90,10800,1620053303,80,3.0201,30.9111,69.46,3.83
artyk,,,,,,,,
port hardy,90,-25200,1620053303,93,50.6996,-127.4199,46.4,9.22
bulolo,58,36000,1620053304,96,-7.2,146.65,69.51,0.92
kaiyuan,0,28800,1620053304,71,23.6977,103.3037,69.37,6.33
sao joao da barra,40,-10800,1620053305,61,-21.6403,-41.0511,80.6,2.3
atuona,99,-34200,1620053305,73,-9.8,-139.0333,80.53,14.56
champasak,74,25200,1620053305,83,14.75,106,77.23,2.19
edelira,0,-14400,1620053306,36,-26.75,-55.2667,85.01,8.63
katiola,40,0,1620053306,65,8.1333,-5.1,84.2,4.61
tilichiki,60,43200,1620053307,97,60.4667,166.1,3.79,8.39
bianzhuang,100,28800,1620053307,98,34.8486,118.0447,62.49,6.4
lorengau,88,36000,1620053307,75,-2.0226,147.2712,80.96,1.07
srikakulam,55,19800,1620053308,68,18.3,83.9,80.87,6.85
gimli,100,-18000,1620053308,60,50.6336,-96.9907,37.4,11.5
attawapiskat,,,,,,,,
vila franca do campo,20,0,1620053309,77,37.7167,-25.4333,64.4,6.91
vestmannaeyjar,0,0,1620053310,36,63.4427,-20.2734,44.6,12.66
richards bay,11,7200,1620053310,73,-28.783,32.0377,67.82,6.26
namibe,40,3600,1620053316,58,-15.1961,12.1522,86,11.5
coos bay,1,-25200,1620053316,93,43.3665,-124.2179,46.99,9.22
scarborough,100,3600,1620053316,87,54.2797,-0.4044,44.01,7
palabuhanratu,,,,,,,,
hokitika,92,43200,1620053317,77,-42.7167,170.9667,53.24,3.15
satitoa,,,,,,,,
nizhneyansk,,,,,,,,
el dorado,1,-25200,1620053318,25,38.7666,-120.5177,63,11.5
sarakhs,90,16200,1620053318,46,36.5449,61.1577,73.4,6.91
haines junction,100,-25200,1620053056,86,60.7522,-137.5108,24.8,1.14
porangatu,0,-10800,1620053319,47,-13.4408,-49.1486,85.57,2.73
shache,100,28800,1620053320,16,38.4167,77.2406,74.1,6.76
chechat,62,19800,1620053320,22,24.7667,75.8833,89.76,6.46
roma,1,-14400,1620053188,72,43.2128,-75.4557,63,9.22
severnoye,100,25200,1620053321,84,56.3491,78.3619,48.78,9.26
carnot,82,3600,1620053321,68,4.9409,15.8665,82.67,7.45
bairiki,20,43200,1620053321,83,1.3292,172.9752,82.4,6.91
deshnok,,,,,,,,
verkhnyaya inta,100,10800,1620053322,66,65.9811,60.3094,33.46,17.43
ayr,75,3600,1620053323,87,55.4627,-4.6339,39.2,23.02
urengoy,11,18000,1620053323,93,65.9667,78.3667,26.62,8.25
semirom,65,16200,1620053323,43,31.4167,51.5667,50.72,7.58
praya,20,-3600,1620053324,53,14.9215,-23.5087,77,19.57
saint-francois,0,7200,1620053324,39,46.4154,3.9054,64,3.44
barabai,89,28800,1620053325,86,-2.5833,115.3833,77.25,2.33
newcastle,100,36000,1620053278,100,-32.9272,151.7765,64,6.6
bozeman,1,-21600,1620053100,75,45.6796,-111.0386,42.01,2.08
victoria,80,28800,1620053284,91,22.2855,114.1577,78.01,3
fukue,81,32400,1620053326,66,32.6881,128.8419,62.74,13.67
presidencia roque saenz pena,55,-10800,1620053326,65,-26.7852,-60.4388,87.01,5.01
disa,70,19800,1620053327,20,24.25,72.1667,89.71,7.56
san antonio,90,-18000,1620053119,69,29.4241,-98.4936,77,4.61
sibolga,100,25200,1620053328,86,1.7427,98.7792,79.05,3.24
okhotsk,39,36000,1620053328,83,59.3833,143.3,33.91,3.6
tazovskiy,7,18000,1620053328,95,67.4667,78.7,21.27,7.2
kapoeta,100,7200,1620053329,50,4.7717,33.5903,81.39,6.33
kletskaya,100,10800,1620053329,49,49.3145,43.0584,71.37,15.46
mildura,83,36000,1620053220,76,-34.2,142.15,53.6,8.05
carnarvon,90,28800,1620053330,94,-24.8667,113.6333,62.6,12.66
zheshart,100,10800,1620053330,42,62.0731,49.5733,43.12,4.38
kupino,100,25200,1620053331,87,54.3663,77.2981,50.7,17.52
sterling,90,-14400,1620053123,77,39.0062,-77.4286,66.99,3.44
kununurra,28,28800,1620053331,78,-15.7667,128.7333,69.8,3.44
murray bridge,75,34200,1620053332,97,-35.1167,139.2667,53.01,15.48
vaitupu,,,,,,,,
itaituba,40,-10800,1620053333,70,-4.2761,-55.9836,86,3.44
barentsburg,,,,,,,,
storforshei,,,,,,,,
edd,100,10800,1620053334,62,13.9297,41.6925,87.1,4.65
aykhal,100,32400,1620053334,98,66,111.5,30.09,2.93
bathsheba,75,-14400,1620053334,69,13.2167,-59.5167,78.8,20.71
tsiroanomandidy,8,10800,1620053335,78,-18.7667,46.0333,67.35,4.72
tacarigua,100,-14400,1620053335,72,10.0862,-67.9198,32,2.66
atar,0,0,1620053185,9,20.5169,-13.0499,97.38,9.6
flin flon,90,-18000,1620053103,64,54.7682,-101.865,28.4,8.05
saint-vallier,0,7200,1620053336,39,46.6411,4.3711,64,3.44
dolbeau,,,,,,,,
ambilobe,80,10800,1620053337,88,-13.2,49.05,76.91,2.17
asau,51,10800,1620053342,31,46.4333,26.4,60.01,10.38
shubarshi,88,18000,1620053343,31,48.5872,57.1869,69.85,5.75
pisco,74,-18000,1620053343,83,-13.7,-76.2167,68,8.05
jacqueville,40,0,1620053344,79,5.2052,-4.4146,86,13.8
ginir,97,10800,1620053344,81,7.1333,40.7,62.83,2.68
ancud,0,-14400,1620053345,87,-41.8697,-73.8203,52,3.44
muslyumovo,100,10800,1620053345,67,55.3033,53.1947,56.66,8.88
saint-philippe,0,14400,1620053346,78,-21.3585,55.7679,78.8,2.3
flinders,100,36000,1620053346,79,-34.5833,150.8552,63,3
maceio,75,-10800,1620053347,69,-9.6658,-35.7353,82.4,6.91
ngama,87,3600,1620053347,8,11.7833,17.1667,105.75,11.3
vardo,40,7200,1620053348,75,70.3705,31.1107,33.8,10.36
dukat,84,39600,1620053348,99,62.55,155.55,7.83,2.8
tver,82,10800,1620053109,78,56.8619,35.8931,48.83,13.53
leh,6,19800,1620053349,32,34.1667,77.5833,49.15,4.23
broome,100,-14400,1620053349,75,42.2506,-75.833,61,6.78
vesoul,0,7200,1620053181,38,47.5833,5.8333,61,6.91
deputatskiy,98,36000,1620053350,97,69.3,139.9,23.49,3.89
seoni,60,19800,1620053350,35,22.0833,79.5333,81.99,3.67
alugan,96,28800,1620053351,87,12.2188,125.4808,80.13,14.09
santiago de cao,20,-18000,1620053351,78,-7.9589,-79.2392,69.8,6.91
vanavara,100,25200,1620053352,94,60.34,102.2797,33.31,4.45
honiara,96,39600,1620053352,88,-9.4333,159.95,77.25,3.11
koppang,100,7200,1620053353,87,61.5706,11.0555,38.79,2.59
ponta delgada,20,0,1620053353,77,37.7333,-25.6667,64.4,6.91
palmerston,0,34200,1620053102,88,-12.486,130.9833,75.2,3.44
